type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.128559088,0.101776653,0.139793436,0.146543307,0.169356178,0.166847064,0.16412778,0.075481934,0.139510016,0.115974867,0.211643163,0.152443715,0.193939343,0.202785954,0.156036723,0.145911206,0.083736165,0.104180364,0.152867504,0.189407515,0.156082286,0.133736561,0.09502929,0.049254464,0.056998286,0.056667723,0.096005449,0.090801569,0.128932617,0.148678958,0.067680127,0.086037141
0,0.100412458,0.110895769,0.120518668,0.119154823,0.077121717,0.087972246,0.112366861,0.069659093,0.129059822,0.081695961,0.120964093,0.144869418,0.116504705,0.140547726,0.128823477,0.100926499,0.135779959,0.148646505,0.164484432,0.198346425,0.173172703,0.23237146,0.19517116,0.191852125,0.1128371,0.107611925,0.119227743,0.161402171,0.18018618,0.210676533,0.211110429,0.153958819
0,0.085167972,0.088807907,0.093381276,0.113814869,0.087082576,0.066144302,0.069914342,0.107841408,0.076256903,0.105138994,0.079435652,0.120289983,0.101241576,0.115676889,0.0921258,0.108437823,0.231409664,0.20287812,0.297090221,0.182140904,0.212123709,0.215589907,0.203785955,0.225889868,0.174477682,0.11011258,0.112368761,0.205785447,0.248900272,0.238619538,0.228990995,0.127199556
0,0.080074385,0.083423586,0.076953456,0.083090887,0.086117757,0.097950088,0.0988112,0.084599465,0.067341935,0.088331272,0.114763644,0.098403397,0.079068049,0.121738227,0.083028883,0.08512259,0.182924206,0.131504118,0.210149118,0.14723877,0.196852896,0.160854141,0.231841834,0.230237782,0.116921216,0.190912914,0.156538128,0.14635756,0.263537838,0.123654003,0.156128075,0.197700246
0,0.084061534,0.091847437,0.142391965,0.112561149,0.11610071,0.134188223,0.111272001,0.146656465,0.07407021,0.106748571,0.162852708,0.147861073,0.132224572,0.127766848,0.103681384,0.143911538,0.227669442,0.164663188,0.156818203,0.13624561,0.148981314,0.142907006,0.222685051,0.208744306,0.144597399,0.103979902,0.126854301,0.163317652,0.253920924,0.119723864,0.147421318,0.128443391
0,0.210864176,0.205998479,0.326413452,0.332193525,0.235537212,0.273873715,0.229142396,0.173951428,0.207492843,0.192900872,0.173595175,0.156982612,0.226632192,0.262024373,0.249179553,0.256711254,0.114106423,0.101986338,0.149324634,0.156640039,0.203068943,0.192849587,0.190651458,0.180190617,0.132109542,0.154652343,0.155149293,0.074080649,0.14603861,0.161422594,0.139758171,0.147255321
0,0.219555822,0.169810063,0.271078692,0.199452734,0.171200418,0.176546048,0.158340301,0.140907267,0.145174161,0.130599136,0.176200691,0.134793998,0.161380741,0.19601628,0.109071128,0.198320815,0.123777263,0.109448069,0.129787059,0.157473314,0.122130981,0.205638295,0.154805216,0.210729403,0.233301571,0.296305789,0.124983315,0.077154777,0.196893055,0.180316001,0.352434752,0.306467
0,0.089045603,0.072219795,0.147665024,0.107230098,0.171373296,0.137891451,0.0819172,0.106345971,0.049660746,0.089646392,0.143478035,0.072216307,0.168759489,0.141678311,0.100077507,0.134085453,0.29198566,0.345369597,0.259257453,0.270366382,0.292677635,0.2612104,0.266553823,0.319233,0.080681577,0.101555238,0.321828204,0.303956947,0.306042242,0.276501181,0.193058943,0.238573487
0,0.277134942,0.123652894,0.240621987,0.204627296,0.217323641,0.19659246,0.250509099,0.151844269,0.128193994,0.127682654,0.210566711,0.193257684,0.184409942,0.23059292,0.126183176,0.163830745,0.104337585,0.099965631,0.165327689,0.174335032,0.16507195,0.191968592,0.178782943,0.2588217,0.299180061,0.256248377,0.113232524,0.133188388,0.147080626,0.165960619,0.196345487,0.231880082
0,0.134033034,0.073386166,0.114380669,0.140018198,0.129501417,0.203771827,0.118923921,0.174249706,0.087562127,0.11577275,0.17025187,0.14456153,0.139483301,0.140372319,0.126718681,0.127866766,0.151906455,0.246574327,0.128920131,0.218994025,0.142106712,0.121956185,0.15410225,0.111475111,0.090489531,0.067880827,0.092782131,0.122648372,0.204547796,0.300101903,0.148570209,0.150384034
0,0.219209761,0.176175532,0.217452697,0.201384606,0.268563998,0.206453713,0.219137283,0.188966343,0.194612797,0.222315346,0.295925782,0.200767281,0.198644504,0.263385386,0.178614531,0.202080651,0.157763177,0.237600143,0.282020098,0.227472543,0.288066497,0.193135093,0.223320075,0.228204906,0.207108533,0.181967546,0.158876221,0.20179745,0.263071086,0.218331973,0.21965437,0.21056203
0,0.096322014,0.095107747,0.221392717,0.156074788,0.129286684,0.182520248,0.089472672,0.094796632,0.081274522,0.06244314,0.137390039,0.15122591,0.123050897,0.112003332,0.091113352,0.067550388,0.165073573,0.237304761,0.224144072,0.187935876,0.350896044,0.248003667,0.377498751,0.356677713,0.42783507,0.367327373,0.115046927,0.246394758,0.318279722,0.299350848,0.399410069,0.374008134
0,0.115996103,0.141971465,0.141780227,0.146078828,0.153002808,0.114627534,0.143107092,0.120911419,0.116493195,0.085290314,0.103035721,0.152120312,0.09281454,0.149757562,0.10971273,0.101492394,0.094545441,0.095060941,0.09280504,0.140507235,0.176457029,0.200296318,0.16748569,0.25707181,0.168729408,0.143586384,0.048926561,0.090583084,0.214350819,0.211040932,0.204863478,0.124848796
